Track_duration(s);Popularity;Danceability;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature;Explicit;Energy
152.706;13;0.719;8;9.229;1;0.0376;0.797;0.0000143;0.075;0.727;128.272;1;1;0.639
151.106;0;0.662;6;4.65;1;0.0291;0.0128;0;0.448;0.823;123.728;4;0;0.891
178.424;27;0.748;5;5.772;1;0.0907;0.327;0.0000143;0.096;0.334;104.175;4;1;0.551
266.56;65;0.683;5;10.184;1;0.0346;0.0681;0.00000836;0.248;0.841;103.036;4;0;0.751
217.946;83;0.836;7;5.975;1;0.0943;0.0403;0;0.0824;0.51;97.028;4;0;0.544
221.106;0;0.804;0;4.892;1;0.0305;0.275;0.0000329;0.215;0.826;98.12;4;0;0.801
231.986;0;0.349;7;4.133;0;0.0758;0.0102;0.000138;0.0812;0.542;148.985;1;0;0.795
218.573;84;0.951;0;4.675;0;0.0685;0.106;0;0.0712;0.822;125.04;4;0;0.6
321.933;0;0.702;0;8.448;0;0.0298;0.0744;0.00002;0.072;0.799;125.199;4;1;0.626
200.88;60;0.719;1;3.951;1;0.0395;0.00683;0.0000311;0.0742;0.625;124.963;4;0;0.616
225.96;0;0.704;0;8.736;1;0.0297;0.64;0.00000172;0.085;0.236;86.952;4;0;0.247
211.661;52;0.737;7;7.902;1;0.0777;0.00682;0.2;0.537;0.587;99.773;4;0;0.784
403.493;65;0.632;2;4.051;1;0.0463;0.0144;0.0021;0.118;0.338;129.007;4;0;0.88
257.933;54;0.574;7;18.072;0;0.0476;0.365;0.0000132;0.126;0.126;84.018;4;0;0.238
271.813;72;0.561;2;5.857;1;0.0318;0.227;0;0.104;0.238;83.962;4;0;0.522
153.205;73;0.392;5;7.056;1;0.0335;0.718;0.00000376;0.129;0.72;124.511;4;0;0.629
205.207;64;0.521;7;5.444;1;0.0683;0.0132;0.0806;0.0929;0.199;180.007;4;1;0.877
195.986;73;0.813;7;5.636;1;0.03;0.0597;0.00137;0.0826;0.731;130.02;4;0;0.732
329.146;73;0.742;0;9.098;1;0.0288;0.459;0.148;0.064;0.391;97.395;4;0;0.533
252.76;64;0.464;2;11.12;1;0.0418;0.877;0;0.0789;0.306;93.528;4;0;0.321
210.09;79;0.69;5;5.025;0;0.0622;0.253;0;0.116;0.544;102.04;4;0;0.622
184.013;43;0.638;8;5.467;0;0.0681;0.0244;0;0.169;0.756;128.035;4;0;0.803
245.04;63;0.604;0;3.673;0;0.103;0.0678;0.153;0.127;0.301;126.06;4;0;0.788
136.293;7;0.617;0;9.223;1;0.0512;0.494;0;0.293;0.949;128.363;4;0;0.658
210.946;17;0.593;2;6.007;0;0.0353;0.0486;0.000584;0.115;0.813;148.719;4;0;0.834
185.64;0;0.787;1;4.696;1;0.0549;0.0915;0;0.15;0.947;121.989;4;0;0.848
169.265;85;0.667;4;9.389;1;0.05;0.785;0;0.0906;0.0823;124.148;4;0;0.373
241.973;50;0.585;2;2.894;1;0.0733;0.00676;0.0000521;0.262;0.958;161.05;4;0;0.973
286.853;0;0.644;1;6.877;1;0.215;0.121;0;0.279;0.554;148.889;3;0;0.595
252.6;58;0.515;8;4.632;1;0.0368;0.0158;0.0000188;0.412;0.637;150.031;4;0;0.908
209.426;55;0.725;11;3.707;0;0.0347;0.363;0.000716;0.125;0.711;104.001;4;0;0.844
206.866;0;0.694;11;3.556;0;0.0661;0.122;0;0.141;0.824;137.968;4;0;0.81
182.96;51;0.634;2;6.595;1;0.03;0.271;0;0.165;0.623;105.642;4;0;0.587
239.12;54;0.379;11;6.863;1;0.0307;0.0167;0.000679;0.0915;0.301;115.272;4;0;0.664
233.173;72;0.45;9;12.718;0;0.0353;0.493;0.00564;0.134;0.812;208.282;4;0;0.442
211.16;76;0.633;6;6.403;0;0.258;0.297;0;0.206;0.659;86.776;4;0;0.673
212.306;40;0.677;0;3.859;1;0.0912;0.00121;0.916;0.322;0.545;124.929;4;0;0.915
181.946;49;0.769;2;12.076;1;0.109;0.488;0.00000109;0.316;0.857;123.057;4;0;0.721
192.789;0;0.653;0;4.857;1;0.033;0.00021;0.0047;0.0838;0.762;117.949;5;0;0.822
252.786;64;0.42;1;3.139;1;0.0581;0.0000284;0.00861;0.379;0.182;174.038;4;1;0.969
278.973;0;0.53;11;9.169;1;0.025;0.183;0.00227;0.0675;0.43;144.202;4;0;0.59
256.733;74;0.543;7;10.71;1;0.0601;0.00162;0.0000021;0.0565;0.836;103.731;4;0;0.912
236;37;0.699;4;3.607;0;0.0276;0.00993;0;0.11;0.578;94.979;4;0;0.68
219.999;0;0.768;1;9.252;0;0.0423;0.0234;0.000072;0.242;0.95;125.06;4;0;0.741
235.8;43;0.629;5;4.299;1;0.0287;0.0395;0;0.349;0.787;159.951;4;0;0.721
220.133;37;0.421;8;8.106;1;0.0407;0.152;0.444;0.0948;0.512;119.46;4;0;0.66
209.44;81;0.376;0;4.782;0;0.0933;0.135;0;0.11;0.302;169.533;4;0;0.695
207.013;20;0.653;4;4.912;0;0.0352;0.219;0;0.921;0.552;123.086;4;0;0.845
264.24;11;0.216;5;8.132;1;0.0431;0.663;0;0.882;0.301;75.017;4;0;0.544
210.219;65;0.783;7;7.78;1;0.0588;0.282;0;0.0833;0.512;106.974;4;0;0.435
197.8;0;0.783;7;3.935;1;0.0432;0.199;0;0.274;0.842;106.05;4;0;0.67
173.333;84;0.726;8;8.765;0;0.135;0.731;0;0.696;0.348;144.026;4;0;0.431
212.626;43;0.571;11;5.005;1;0.0303;0.08;0;0.478;0.741;122.955;4;0;0.714
181.88;30;0.648;11;3.514;1;0.05;0.00266;0;0.0717;0.594;108.012;4;1;0.72
248.466;0;0.937;2;5.037;1;0.0473;0.0566;0.000373;0.0273;0.939;122.007;4;0;0.98
245.133;52;0.839;5;6.104;0;0.199;0.208;0;0.242;0.839;96.673;4;0;0.706
253.373;57;0.852;5;8.668;0;0.0675;0.103;0.421;0.0468;0.826;115.592;4;0;0.591
301.826;56;0.702;0;9.739;1;0.0321;0.0805;0.0193;0.184;0.728;121.738;4;0;0.588
300.24;10;0.557;0;12.645;1;0.0259;0.776;0.0667;0.0989;0.569;99.83;4;0;0.38
256.386;45;0.753;4;6.516;1;0.115;0.212;0.0000293;0.259;0.852;131.909;4;0;0.834
393.64;0;0.52;1;12.655;1;0.0286;0.0752;0.0000113;0.0609;0.273;131.224;4;0;0.363
177.44;59;0.442;2;6.327;0;0.0281;0.037;0.00000446;0.172;0.497;83.414;4;0;0.596
151.64;63;0.7;4;6.815;1;0.358;0.544;0;0.606;0.719;108.102;4;0;0.465
187.013;0;0.542;4;11.567;0;0.0295;0.212;0.0519;0.102;0.827;171.719;4;0;0.444
295.173;0;0.715;1;7.068;1;0.262;0.134;0;0.157;0.897;87.665;4;0;0.733
204.4;35;0.706;2;4.239;1;0.0573;0.00706;0;0.0377;0.495;126.112;4;0;0.719
248.066;30;0.553;7;8.398;1;0.0489;0.00307;0;0.0818;0.834;177.113;4;0;0.843
229.525;62;0.689;10;7.503;1;0.0815;0.369;0.00000103;0.0649;0.283;80.025;4;0;0.481
258.2;65;0.744;8;14.753;1;0.0631;0.039;0;0.171;0.683;119.955;4;0;0.697
228.373;0;0.449;1;4.892;1;0.0369;0.211;0;0.327;0.165;134.144;3;0;0.599
194.88;12;0.379;10;6.817;1;0.0271;0.685;0.00000633;0.204;0.231;142.342;3;0;0.494
147.6;80;0.805;0;5.226;1;0.041;0.164;0.000022;0.0546;0.965;114.95;4;0;0.558
222.253;37;0.801;10;7.027;0;0.0604;0.00765;0.000077;0.0639;0.909;120.378;4;0;0.961
203.573;0;0.529;11;16.066;1;0.0274;0.611;0.000109;0.237;0.578;63.05;4;0;0.127
212.6;77;0.56;2;6.711;0;0.0347;0.000785;0.00246;0.0892;0.74;142.669;4;0;0.825
258.466;61;0.731;8;12.741;1;0.0603;0.00864;0.0000514;0.0579;0.529;175.72;4;0;0.355
233.413;0;0.643;2;8.602;1;0.0933;0.00157;0.00977;0.169;0.868;137.979;4;0;0.765
260.026;79;0.398;9;4.212;1;0.0567;0.000062;0.000177;0.0575;0.311;77.106;4;0;0.927
247.946;71;0.591;6;2.664;1;0.0478;0.000284;0.000278;0.142;0.736;140.043;4;0;0.935
257.266;15;0.662;1;4.945;0;0.0364;0.0603;0;0.119;0.465;121.979;4;0;0.71
269.933;33;0.254;7;3.744;1;0.0472;0.0006;0.0004;0.265;0.412;118.752;4;0;0.761
332.973;54;0.867;4;5.144;1;0.0662;0.0224;0.704;0.104;0.623;123.974;4;0;0.714
257.213;42;0.761;10;14.976;1;0.0381;0.366;0.0000281;0.189;0.826;110.45;4;0;0.484
271.493;54;0.773;3;12.574;1;0.0294;0.232;0.0000161;0.0349;0.971;110.383;4;1;0.721
204.333;0;0.558;11;17.915;1;0.0299;0.791;0.00488;0.0863;0.432;84.559;4;0;0.268
187.493;0;0.709;1;3.209;1;0.124;0.103;0;0.0769;0.773;99.906;4;0;0.869
202.914;69;0.661;7;3.771;0;0.0499;0.117;0.0000132;0.056;0.368;87.46;4;0;0.651
212.862;85;0.612;11;3.145;0;0.0509;0.112;0;0.116;0.438;129.042;4;0;0.84
216.36;59;0.551;2;6.808;1;0.0454;0.00724;0.0000113;0.322;0.888;166.403;4;0;0.882
232.96;55;0.498;3;5.214;1;0.0288;0.166;0;0.3;0.36;144.104;4;0;0.634
184.84;36;0.334;6;5.961;0;0.0496;0.155;0.00000166;0.106;0.362;197.622;3;0;0.557
209.12;66;0.631;1;5.35;1;0.0401;0.000245;0.0115;0.38;0.596;92.469;4;0;0.796
270.506;0;0.663;11;4.954;0;0.109;0.277;0;0.0466;0.758;92.681;4;0;0.777
206.226;24;0.69;1;4.091;1;0.322;0.0103;0;0.344;0.642;123.123;4;0;0.883
270.651;71;0.653;6;7.808;1;0.0249;0.0508;0.0466;0.139;0.765;128.505;4;0;0.666
296.266;65;0.654;5;7.699;1;0.025;0.0624;0;0.0963;0.279;143.676;4;0;0.417
236.093;13;0.768;9;9.302;1;0.0355;0.175;0;0.065;0.907;125.393;4;0;0.815
353.36;62;0.757;5;6.771;0;0.0338;0.00254;0.0012;0.0357;0.621;125.002;4;0;0.905
291.666;0;0.569;7;10.138;1;0.0313;0.536;0.0000144;0.1;0.346;145.513;3;0;0.472
193.92;79;0.66;1;5.352;0;0.153;0.0192;0.00000883;0.159;0.625;103.008;4;0;0.805
312.733;0;0.32;5;14.143;1;0.0644;0.0044;0.000319;0.64;0.429;175.895;4;0;0.426
208.186;71;0.384;11;3.334;1;0.055;0.0948;0;0.168;0.471;89.922;4;0;0.921
128.533;3;0.571;10;6.877;1;0.0305;0.0222;0;0.0748;0.96;145.241;3;0;0.636
205.131;60;0.681;0;3.58;1;0.0374;0.164;0;0.207;0.833;123.661;4;0;0.889
285.106;65;0.665;5;8.314;0;0.0535;0.0178;0.00288;0.126;0.4;119.555;4;1;0.847
199.013;0;0.799;7;9.627;1;0.512;0.164;0;0.158;0.842;166.064;4;0;0.314
259.8;0;0.405;0;4.696;1;0.0274;0.68;0;0.0918;0.325;102.678;3;0;0.517
466.906;25;0.724;1;14.508;0;0.0502;0.0559;0.0895;0.214;0.437;141.86;4;0;0.804
144.333;0;0.701;0;19.846;1;0.0938;0.219;0;0.0821;0.89;97.042;4;0;0.261
182.933;57;0.633;8;7.789;0;0.0701;0.135;0;0.201;0.648;164.008;4;0;0.564
253.536;0;0.507;1;4.658;0;0.035;0.0351;0;0.259;0.649;95.978;4;0;0.833
315.466;45;0.802;8;7.28;1;0.0415;0.00363;0.0794;0.312;0.966;127.035;4;0;0.962
266.56;74;0.613;0;7.957;1;0.0425;0.0132;0;0.104;0.561;117.341;4;0;0.72
233.96;40;0.604;7;7.782;1;0.0469;0.0943;0.00577;0.204;0.424;126.238;4;1;0.622
280.533;67;0.617;9;5.63;1;0.0269;0.424;0;0.127;0.242;139.979;4;0;0.439
659;42;0.497;7;5.819;1;0.0689;0.0365;0;0.927;0.61;101.994;4;0;0.883
237.546;68;0.791;1;7.333;1;0.0623;0.0174;0;0.423;0.789;103.646;4;0;0.702
215.4;57;0.444;11;6.884;0;0.0541;0.699;0;0.329;0.554;154.26;3;0;0.757
177.333;55;0.569;7;13.038;1;0.0292;0.457;0.00000508;0.105;0.617;113.168;4;0;0.428
170.64;79;0.664;5;10.345;1;0.519;0.298;0.00000203;0.0812;0.541;92.875;4;0;0.316
228.3;64;0.747;2;4.902;1;0.0429;0.108;0;0.0712;0.589;100.012;4;0;0.701
226.453;0;0.704;4;12.813;1;0.0316;0.175;0.00231;0.0631;0.777;113.194;4;0;0.557
271.64;81;0.704;11;7.374;0;0.0428;0.393;0.0000317;0.0952;0.411;113.927;4;0;0.634
180.24;30;0.696;4;3.76;0;0.0468;0.0374;0.00108;0.0485;0.967;127.988;4;0;0.699
198.049;45;0.368;1;4.986;0;0.246;0.093;0.00267;0.0986;0.542;175.7;4;0;0.858
278.293;62;0.805;0;6.584;1;0.0905;0.0745;0.0000146;0.415;0.608;106.525;4;0;0.942
247.893;20;0.35;7;6.3;1;0.0417;0.00121;0.0000685;0.198;0.467;148.982;4;0;0.775
151.613;31;0.692;2;11.91;1;0.0422;0.118;0;0.305;0.744;121.77;4;0;0.413
211.08;0;0.803;7;2.429;1;0.0357;0.00485;0.000358;0.0577;0.881;113.996;4;0;0.851
187.146;0;0.605;0;4.785;1;0.0448;0.00702;0.114;0.145;0.238;167.997;4;0;0.813
229.08;73;0.672;11;4.01;0;0.0304;0.0223;0;0.214;0.438;98.02;4;0;0.593
198.066;71;0.748;0;4.288;0;0.0341;0.0534;0;0.32;0.96;104.001;4;0;0.939
232.893;59;0.6;0;10.693;1;0.0336;0.503;0.00013;0.0816;0.678;75.331;4;0;0.657
212.84;18;0.61;2;9.393;1;0.0316;0.0212;0;0.309;0.841;109.856;4;0;0.78
167.693;0;0.429;5;4.689;0;0.446;0.0497;0;0.265;0.684;198.709;4;0;0.671
272.453;31;0.43;1;8.228;0;0.031;0.528;0;0.12;0.155;125.218;4;0;0.428
254.973;40;0.739;7;3.077;0;0.068;0.00356;0;0.0848;0.558;81.001;4;0;0.709
249.293;52;0.649;7;4.984;0;0.0594;0.00676;0.00000426;0.174;0.477;79.993;4;0;0.718
203.106;35;0.586;8;4.231;0;0.0463;0.141;0;0.655;0.4;115.006;4;0;0.928
190.666;33;0.249;1;9.914;1;0.0406;0.755;0;0.395;0.462;82.495;4;0;0.46
230.706;53;0.423;0;2.908;1;0.039;0.000675;0.00000599;0.187;0.26;126.51;4;0;0.92
254.783;6;0.374;3;5.702;0;0.271;0.104;0;0.111;0.637;159.149;4;0;0.772
202.213;71;0.52;7;7.208;1;0.0256;0.281;0;0.0976;0.17;77.903;4;0;0.513
145.933;7;0.607;5;8.846;0;0.0311;0.42;0;0.0609;0.838;124.601;4;0;0.488
176.561;0;0.723;7;3.081;0;0.0625;0.00346;0.00123;0.565;0.274;98.007;4;0;0.809
243.506;0;0.366;8;5.463;0;0.0423;0.018;0;0.153;0.398;76.057;4;0;0.791
222.6;70;0.716;8;9.949;1;0.0426;0.0631;0.00133;0.189;0.821;125.474;4;0;0.85
216.693;44;0.627;6;7.775;1;0.0625;0.468;0;0.126;0.802;100.071;4;0;0.768
251.466;35;0.723;9;13.763;1;0.0428;0.0184;0.0106;0.0665;0.917;95.262;4;0;0.722
171.84;28;0.568;5;9.912;1;0.0256;0.801;0.0000167;0.059;0.383;94.096;3;0;0.367
209.32;84;0.762;9;6.021;0;0.0694;0.00261;0.0000156;0.153;0.608;116.073;4;1;0.7
195.8;0;0.631;4;12.617;1;0.0356;0.521;0.000258;0.512;0.781;126.156;4;0;0.426
225.489;12;0.789;0;2.88;1;0.041;0.00555;0.00000968;0.069;0.902;131.005;4;0;0.625
200.454;96;0.707;0;4.325;1;0.0668;0.0632;0.00000515;0.0322;0.646;117.999;4;0;0.681
242;26;0.719;0;7.345;1;0.0465;0.167;0.044;0.104;0.461;124.04;4;0;0.78
231.24;82;0.613;1;5.794;0;0.0334;0.00882;0;0.37;0.484;80.003;4;0;0.622
143.901;85;0.737;1;4.51;0;0.22;0.00614;0;0.0486;0.546;87.981;4;0;0.846
221.921;29;0.452;6;3.83;0;0.0518;0.0501;0.0000158;0.309;0.275;125.994;4;0;0.876
176.32;71;0.432;6;2.01;0;0.0882;0.00725;0;0.233;0.567;156.128;4;0;0.868
169.466;0;0.524;2;11.739;1;0.0276;0.568;0.0389;0.15;0.549;95.116;3;0;0.417
295.933;0;0.409;1;9.689;1;0.0369;0.0174;0.0000102;0.0415;0.439;100.938;3;0;0.58
175.72;86;0.598;7;8.764;0;0.0317;0.0546;0.00000583;0.21;0.0605;76.469;4;0;0.427
199.693;0;0.755;2;2.741;0;0.116;0.0746;0.00000127;0.291;0.735;120.032;4;0;0.832
185.608;48;0.706;2;6.051;1;0.08;0.353;0;0.105;0.399;90.491;4;0;0.589
162.373;83;0.552;1;9.786;0;0.0345;0.352;0;0.0533;0.637;112.367;4;0;0.608
223.133;31;0.697;0;7.216;1;0.0316;0.00124;0.00117;0.252;0.751;102.981;4;0;0.816
187.173;64;0.674;2;11.927;1;0.0597;0.29;0.00322;0.189;0.814;124.204;4;0;0.686
195.669;29;0.404;0;11.889;1;0.0512;0.891;0;0.103;0.147;75.342;3;0;0.185
208.68;21;0.329;4;6.938;1;0.0309;0.03;0.00000268;0.135;0.531;161.436;4;0;0.356
237.506;0;0.802;2;9.196;1;0.0334;0.224;0;0.298;0.977;128.954;4;0;0.82
260.806;12;0.706;9;5.047;0;0.0451;0.0105;0.00000385;0.171;0.786;119.972;4;0;0.92
206.466;54;0.519;5;5.122;1;0.034;0.0524;0;0.243;0.572;96.072;4;1;0.874
162.906;44;0.594;5;9.552;1;0.0528;0.0267;0.00541;0.905;0.898;110.71;4;0;0.676
